Date,RIO.AX,TLS.AX,WES.AX,CPU.AX,SEK.AX,WOW.AX,CBA.AX,WBC.AX
12/4/12,43.05774307,2.246042728,12.83327103,6.609025002,5.560594559,18.42910957,30.46894646,13.60542679
13/4/12,44.05302048,2.239377737,12.94291782,6.624340534,5.609731197,18.52273178,30.72612572,13.64861965
16/4/12,43.54535294,2.246042728,12.79379845,6.524785042,5.585163593,18.54433441,30.67714119,13.62393951
17/4/12,43.21805191,2.239377737,12.71485043,6.524785042,5.626110554,18.39310265,30.67714119,13.56223583
18/4/12,44.42040253,2.239377737,12.7718668,6.563076973,5.69981575,18.47232056,31.09350777,13.61159801
19/4/12,44.48720169,2.259372711,12.87274456,6.455861092,5.658867836,18.6163559,31.09350777,13.58691311
20/4/12,44.50723648,2.252708197,12.92537403,6.471178055,5.658867836,18.63796234,31.19149208,13.63627434
23/4/12,44.52060699,2.266037226,12.8683567,6.402253151,5.634299755,18.60195351,31.19761467,13.6609602
24/4/12,43.81922531,2.312691212,13.10519791,6.363963604,5.69981575,18.60915184,31.32007408,13.86457634
26/4/12,44.19330215,2.339350462,13.19291782,6.394595623,5.716193676,18.59474945,31.63235283,13.9879818
27/4/12,43.70567322,2.339350462,13.22800636,6.440545082,5.716193676,18.55874443,31.5894928,13.93862057
30/4/12,44.3202095,2.359345198,13.28063393,6.440545082,5.863602638,18.68117142,31.82217598,14.02500343
1/5/12,43.9461441,2.379339218,13.46045876,6.478835106,6.12566328,18.84681129,32.36102295,14.08670902
2/5/12,44.36028671,2.386003733,13.48239136,6.540102482,6.060148239,19.02684975,32.25692368,14.00032234
3/5/12,43.85262299,2.392668962,13.4078331,6.463519573,5.978254318,19.33652496,32.25692368,14.13606834
4/5/12,43.35832214,2.405997992,13.42098522,6.524785042,5.871792316,19.37252998,32.22018814,14.13606834
7/5/12,41.41451263,2.372674465,13.22800636,6.356304646,5.871792316,19.14927864,31.8772831,14.01883221
8/5/12,41.58818817,2.412663698,13.26748085,6.386937618,5.830845356,19.08446503,31.88952827,14.08670902
9/5/12,40.90017319,2.432658195,13.22362041,6.402253151,5.593353271,19.07726097,31.63235283,14.09288025
10/5/12,41.37443161,2.425992727,13.40344334,6.371621609,5.454133511,19.12047386,31.77931213,14.12989902
11/5/12,40.79330063,2.399333715,13.49993324,6.356304646,5.576975346,19.29331207,31.71808243,14.01883221
14/5/12,40.74653244,2.425992727,13.52624798,6.440545082,5.601543427,19.4229393,32.33039093,14.12765884
15/5/12,40.28563309,2.472646713,13.52624798,6.371621609,5.601543427,19.59578514,32.24467468,14.01883221
16/5/12,38.73592758,2.419328451,13.32010937,6.241431713,5.331292629,19.44454765,31.69971275,13.87800503
17/5/12,38.8494873,2.386003733,13.24116516,6.157191753,5.372239113,19.40134048,31.2404747,13.58354664
18/5/12,36.87227249,2.346014977,12.96046352,6.21079874,5.216641426,19.21409416,30.24851418,13.06504059
21/5/12,37.37325668,2.366009235,13.02624989,6.080609798,5.265776634,19.31492043,30.39547729,13.19306278
22/5/12,38.00115204,2.399333715,13.17975807,6.080609798,5.462322712,19.35812759,30.56080055,13.28268814
23/5/12,37.59368515,2.372674465,13.03502464,5.927445412,5.24120903,19.24290276,30.2668972,13.10344982
24/5/12,37.64712524,2.352680206,13.00870991,5.904471397,5.24120903,19.37252998,30.19340897,13.05223846
25/5/12,37.35990524,2.352680206,12.71923542,5.881496906,5.183883667,19.22129631,29.83213425,12.87940311
28/5/12,38.00783539,2.346014977,12.57011604,5.927445412,5.265776634,18.911623,30.17503929,13.05864048
29/5/12,38.83613205,2.366009235,12.72362232,6.027003288,5.454133511,18.99084282,30.54242706,13.15465736
30/5/12,38.3084259,2.372674465,12.69730377,5.958079338,5.48689127,18.86120987,30.45670509,13.07143974
31/5/12,37.98110962,2.366009235,12.80695629,5.965736389,5.609731197,19.04125404,30.24851418,12.98822498
1/6/12,37.09270859,2.425992727,12.7630949,5.896812439,5.503269196,19.17808723,30.42609024,13.08424377
4/6/12,35.33592987,2.43932271,12.5569582,5.79725647,5.233019352,19.10606575,30.03420258,12.93061447
5/6/12,35.90370941,2.432658195,12.67976093,5.873838902,5.454133511,18.9548378,30.61591339,13.18026161
6/6/12,36.23770523,2.432658195,12.7674818,5.942761421,5.347671509,18.97643852,30.64652443,13.02663231
7/6/12,37.01922989,2.43932271,12.96923542,6.019343853,5.454133511,19.20689201,31.25272179,13.2954874
8/6/12,37.13279343,2.425992727,12.71485043,5.904471397,5.29853487,19.09166527,30.90369225,13.07784367
12/6/12,36.50489044,2.399333715,12.74555111,5.850863457,5.454133511,19.15648079,31.1180191,13.1674614
13/6/12,36.47148514,2.405997992,12.70168972,5.988711834,5.323103905,19.09886551,30.99555206,13.1162529
14/6/12,36.25104523,2.399333715,12.70607758,5.973395824,5.29853487,19.00524712,30.96492958,12.98822498
15/6/12,36.40468979,2.412663698,12.71923542,5.79725647,5.339481354,19.07726097,31.16088104,13.02023125
18/6/12,38.07463455,2.432658195,12.92537403,5.904471397,5.421376228,19.16368294,31.55887604,13.28908539
19/6/12,37.9209938,2.425992727,13.02186394,5.774281502,5.380429268,19.15648079,31.5894928,13.3146925
20/6/12,38.55557251,2.392668962,12.94730568,5.79725647,5.404996872,18.96923447,31.89565659,13.57074642
21/6/12,38.00783539,2.399333715,12.98239231,5.697700024,5.249398232,18.97643852,31.70583153,13.42991543
22/6/12,37.42002487,2.399333715,12.93853283,5.68238306,5.118369102,18.99804688,31.65072632,13.28268814
25/6/12,37.33986282,2.392668962,12.94730568,5.667067528,5.101990223,19.01244736,31.56500435,13.21867371
26/6/12,36.96578979,2.412663698,12.80695629,5.735990524,5.101990223,19.09886551,31.65684891,13.23147297
27/6/12,36.7921257,2.445987701,13.03502464,5.751307487,5.175693512,19.26450348,31.93239403,13.3915062
28/6/12,36.84555054,2.43932271,13.1315155,5.728332043,5.167504787,19.32932091,32.22018814,13.32749271
29/6/12,37.74065018,2.459317446,13.11397076,5.674725533,5.192072868,19.30051422,32.51408768,13.52593231
2/7/12,37.74732971,2.485976219,13.1315155,5.68238306,5.347671509,19.3437252,32.77739334,13.73717785
3/7/12,38.35518265,2.485976219,13.08327103,5.690041542,5.200263023,19.23569679,32.64881134,13.79478931
4/7/12,39.39054871,2.479311705,13.28940773,5.735990524,5.233019352,19.48055267,32.81412888,13.7819891
5/7/12,39.19683075,2.485976219,13.29818153,5.743649006,5.216641426,19.37252998,32.94884109,13.92281437
6/7/12,38.60901642,2.492641211,13.31572247,5.68238306,5.208452225,19.4229393,33.12028885,13.91641331
9/7/12,37.7673645,2.519300461,13.28063393,5.667067528,5.183883667,19.4229393,32.93046951,13.82679653
10/7/12,37.47345734,2.539295197,13.1359005,5.61345911,5.118369102,19.40134048,32.72229004,13.80119038
11/7/12,37.17286301,2.572618723,13.28063393,5.621118069,4.913633823,19.44454765,32.82024765,13.96762657
12/7/12,36.23770523,2.565953732,13.36396694,5.621118069,4.872685432,19.37973213,32.76515198,13.99962902
13/7/12,36.12414551,2.559289455,13.4955492,5.644093037,4.831740856,19.40134048,32.92434692,14.11485481
16/7/12,36.39801407,2.552624464,13.65782928,5.674725533,4.913633823,19.38693047,33.1019249,14.18526649
17/7/12,36.36461639,2.585948229,13.78502083,5.758965969,4.921822548,19.51656342,33.61626434,14.40291214
18/7/12,35.25577545,2.579283476,13.80256557,5.79725647,5.036473751,19.48055267,33.83057785,14.4605217
19/7/12,35.64319992,2.625937462,14.24992752,5.843204975,5.12655735,20.09269333,34.22858429,14.69096947
20/7/12,35.66323853,2.632602453,14.05256557,5.850863457,5.052852631,19.89105034,33.75097656,14.62695694
23/7/12,34.41412735,2.592613697,14.07887936,5.697700024,4.930012226,20.085495,33.5182991,14.43491936
24/7/12,34.57442856,2.572618723,14.13151169,5.697700024,4.913633823,20.25833702,33.54278946,14.47973061
25/7/12,34.073452,2.592613697,14.02624798,5.68238306,4.913633823,20.28714752,33.5917778,14.37090397
26/7/12,33.73947144,2.61927247,14.14466667,5.71301651,4.979149342,20.36636162,33.92854309,14.47332478
27/7/12,34.73474884,2.639267445,14.28063393,5.781939507,5.069231987,20.66883659,34.40003967,14.72297478
30/7/12,34.93514252,2.652596951,14.27624512,5.827888966,5.003717422,20.69044113,35.02460861,14.88941002
31/7/12,35.53632355,2.665926456,14.29379082,5.873838902,4.987338066,20.57521248,35.22666931,14.85100269
1/8/12,35.75675964,2.692585707,14.36396503,5.904471397,5.052852631,20.68324089,35.06746292,14.88300514
2/8/12,36.34457016,2.659261465,14.21484184,5.889154434,4.889065742,20.70484161,34.65108871,15.06224346
3/8/12,34.74143219,2.679255724,14.06133461,5.866178989,4.831740856,20.63282776,34.27757645,14.91501427
6/8/12,36.157547,2.712580681,14.21045303,5.958079338,4.897255421,20.79846382,34.52249908,15.01103687
7/8/12,36.63848114,2.712580681,14.28063393,5.774281502,4.85630703,20.66883659,34.79191971,15.15826511
8/8/12,36.66519928,2.645931721,14.35519123,6.126559734,4.905444622,20.92809296,35.26340485,15.44632149
9/8/12,37.98110962,2.585948229,14.30256081,6.356304646,4.987338066,20.52480507,34.92050552,15.36950779
10/8/12,37.70724106,2.505971193,14.15343761,6.218456745,5.036473751,20.24393463,34.25307846,15.11345673
13/8/12,37.80744171,2.485976219,14.26309013,6.279722691,5.12655735,20.32315254,34.09999847,15.03663731
14/8/12,37.7539978,2.552624464,14.28940582,6.278654099,5.192072868,20.26554298,34.00814819,15.14546394
15/8/12,37.25708771,2.579283476,14.24992752,6.30981493,5.290345669,20.36636162,34.32043076,15.15826511
16/8/12,37.02042389,2.599278212,14.78940296,6.465611458,5.478701115,20.5968132,34.93275833,15.43992233
17/8/12,37.42612457,2.599278212,15.20606327,6.605828762,5.437755108,20.81286812,35.11645508,15.68317223
20/8/12,36.85137558,2.557800293,15.22360992,6.63698864,5.478701115,20.90649033,35.38277435,15.98403263
21/8/12,36.79052353,2.592365026,15.463027,6.598041058,5.48689127,21.23056984,35.38277435,15.9200182
22/8/12,36.58091354,2.571626425,15.59074593,6.63698864,5.839035034,21.20895767,35.0910759,15.93282127
23/8/12,36.63499832,2.56471324,15.69109344,6.559090614,5.839035034,21.23777008,34.9642601,15.85600758
24/8/12,35.02571487,2.578539133,15.46758842,6.543510437,5.839035034,20.88488579,34.81207657,15.77919197
27/8/12,35.23532486,2.578539133,15.55425549,6.605828762,5.904550076,20.69044113,34.6472168,15.79839611
28/8/12,34.99191284,2.59927845,15.64548206,6.644778252,5.855412483,20.8416748,34.50137711,15.9200182
29/8/12,34.17374039,2.64075613,15.69566059,6.730467796,5.912738323,21.05772591,34.43796158,15.91361332
30/8/12,32.88225555,2.661494732,15.59530449,6.683729172,5.871792316,21.03612137,34.22871017,15.84961033
31/8/12,33.2947197,2.661494732,15.74583435,6.543510437,5.839035034,21.33139229,34.71062469,15.85600758
3/9/12,33.70718002,2.682233572,16.07881355,6.699308395,5.830845356,21.60505295,34.86914444,15.90721512
4/9/12,34.05879974,2.668407917,15.96477604,6.691518307,5.667057037,21.78509712,34.64086914,15.56794739
5/9/12,33.36232758,2.654582262,16.11986351,6.668149471,5.48689127,21.60505295,34.5901413,15.33109951
6/9/12,33.91679382,2.654582262,16.1563549,6.800576687,5.578200817,22.00834465,34.69794083,15.29909229
7/9/12,35.4179039,2.63384366,15.9921484,6.901845455,5.561598778,21.79229927,34.62184906,15.17106915
10/9/12,36.9866066,2.63384366,15.90547848,6.8551054,5.578200817,21.48791885,34.54574966,15.10705566
11/9/12,36.87166595,2.626930475,15.87354946,6.816156864,5.520094395,21.32584953,34.35552979,15.09424877
12/9/12,37.25032043,2.647669077,15.7093401,6.738256454,5.437086105,21.31848717,34.91353226,15.33750248
13/9/12,37.22327423,2.661494732,15.50863934,6.691518307,5.503492832,21.28902054,34.88816833,15.23507786
14/9/12,38.25782013,2.64075613,15.75951767,6.613619328,5.628006935,21.25955391,35.05303574,15.43352222
17/9/12,38.87990189,2.620017052,15.75039387,6.535721302,5.569899082,21.03856087,35.05938339,15.63195992
18/9/12,38.71085739,2.626930475,15.7002182,6.442243576,5.561598778,20.99436569,35.05938339,15.58715343
19/9/12,39.08274841,2.64075613,15.8872366,6.559090614,5.611404896,21.16379166,35.09741974,15.68317223
20/9/12,38.25782013,2.668407917,15.83706284,6.559090614,5.503492832,21.33321953,34.85647202,15.5487442
21/9/12,38.08877945,2.675320864,15.8507452,6.62141037,5.586501122,21.56158447,34.97060394,15.75998592
24/9/12,37.16918945,2.668407917,15.77776146,6.598041058,5.553297997,21.53948021,34.92621994,15.73437977
25/9/12,36.49300766,2.682233572,15.69566059,6.62141037,5.59480238,21.32584953,35.07205963,15.70877361
26/9/12,35.7627449,2.696059942,15.73215008,6.582460403,5.561598778,21.56894302,35.11010361,15.69597244
27/9/12,36.23606873,2.709886074,15.77320194,6.535721302,5.586501122,21.37005615,35.40179825,15.8752079
28/9/12,36.08054733,2.709886074,15.62723923,6.465611458,5.669511318,21.1858902,35.36374664,15.90721512
1/10/12,36.08054733,2.682233572,15.4721508,6.488981247,5.661209106,21.25218964,35.4144783,15.96482658
